카테고리,역량_ID,역량명,신입 (0년),주니어 (1-2년),시니어 (3-5년),리드 (5년+),매칭 키워드,부족 시 보완 액션,가중치
메시징·스트리밍,BE-MSG-002,RabbitMQ / 일반 큐,용어 수준 이해,"큐 생성, 메시지 발행/소비","교환기·라우팅 키, DLX(Dead Letter)",메시징 패턴 선택 의사결정,"RabbitMQ,Queue,AMQP,DLX,Routing",비동기 메일 발송 워커 1개 구현,2
성능·확장성,BE-PERF-001,캐시 전략,로컬 캐시(@Cacheable) 사용,분산 캐시·TTL·캐시 무효화 전략,"캐시 스탬피드 방지, 다층 캐시(L1/L2)",조직 캐시 표준,"Cache,Cacheable,TTL,Invalidation,Stampede",Redis 도입한 사이드 프로젝트에서 캐시 hit/miss 측정,3
성능·확장성,BE-PERF-002,부하 분산·스케일링,수평/수직 확장 차이 이해,"L4/L7 로드밸런서, 무상태(stateless) 설계","오토스케일링·셰셔닝, 핫스팟 분산",확장성 아키텍처 의사결정,"Load Balancer,Scaling,Stateless,Auto-scaling,Sharding",로드 테스트(JMeter/k6)로 본 프로젝트 한계 찾기,3
성능·확장성,BE-PERF-003,동시성 제어,synchronized·Lock 차이 이해,"낙관적·비관적 락, 격리 수준 적용","분산 락, 락 프리 자료구조, 데드락 진단",조직 동시성 표준,"Concurrency,Lock,Optimistic,Pessimistic,Deadlock,Race Condition",동시성 문제 시나리오(잔액 차감 등) 1개 직접 구현·해결,4
성능·확장성,BE-PERF-004,대용량 트래픽 처리,용어 수준 이해,TPS 측정·병목 식별,"TPS 수천 이상 운영 경험, 비동기·캐시·읽기 복제 활용",트래픽 폭증 대응 표준,"TPS,Throughput,Latency,Bottleneck,Performance,Load Test",k6로 본 프로젝트 부하 테스트 후 병목 1개 개선,5
테스트,BE-TEST-001,단위 테스트,JUnit Hello World,"Mockito로 의존성 격리, AssertJ로 가독성 있는 검증","테스트 더블 전략, 픽스처 관리, 커버리지 정책",테스트 표준·문화 수립,"JUnit,Mockito,AssertJ,Unit Test,TDD",본 프로젝트 핵심 서비스 1개에 단위 테스트 80% 커버리지,5
테스트,BE-TEST-002,통합 테스트,@SpringBootTest로 띄워봤음,Testcontainers로 실제 DB·Kafka 띄우고 테스트,"테스트 데이터 격리, 병렬 실행, 빠른 피드백",테스트 인프라 표준,"Integration Test,Testcontainers,SpringBootTest,@DataJpaTest",Testcontainers로 PostgreSQL 통합 테스트 1개,4
테스트,BE-TEST-003,E2E·계약 테스트,Postman으로 API 호출,REST Assured로 E2E 자동화,"Consumer-Driven Contract, Pact",E2E 자동화 전략,"REST Assured,E2E,Pact,Contract Test",본 프로젝트 핵심 시나리오 E2E 스크립트 작성,2
협업·문화,BE-COL-001,Git/GitHub 흐름,clone/commit/push 가능,"브랜치 전략(Git Flow, Trunk-based) 이해, PR 작성","리베이스·체리픽 능숙, 충돌 해결, 릴리즈 관리",조직 브랜치 전략 수립,"Git,GitHub,Branch,PR,Rebase,Merge,Git Flow",오픈소스 1개에 PR 보내보기,5
협업·문화,BE-COL-002,코드 리뷰,리뷰 받은 경험 있음,"리뷰 의견 작성·반영, 컨벤션 인지","설계·테스트·성능 관점 리뷰, 멘토링 톤",조직 리뷰 문화·체크리스트 정립,"Code Review,PR,Convention",동료 PR 5건 리뷰 + 자신의 PR 셀프 체크리스트 만들기,4
협업·문화,BE-COL-003,기술 문서화,README 작성,"ADR(Architecture Decision Record), 런북, 온보딩 가이드 작성","RFC 작성·리뷰 주도, 외부 공개 문서",조직 문서화 표준,"Documentation,README,ADR,Runbook,RFC",본 프로젝트의 핵심 의사결정 1건을 ADR로 기록,3
협업·문화,BE-COL-004,애자일·스크럼,데일리 스탠드업 참여,회고·계획·플래닝 포커 참여,"스프린트 운영, 백로그 그루밍 주도",조직 프로세스 개선 주도,"Agile,Scrum,Kanban,Retro,Sprint",팀 스크럼 1회 진행자 자원,2
